rule_id,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules,
1,CAS_ID,text,notNull(src_filename|NULL_VALUE);notNull(map_id|NULL_VALUE);notNull(feature_id|-8888);notNull(ogc_fid|-8888),"padConcat('bc08', src_filename, map_id, feature_id, ogc_fid, 4,15,10,10,7, 'x','x','x',0,0, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE,
2,WETLAND_TYPE,text,,,,,
3,WET_VEG_COVER,text,,,,,
4,WET_LANDFORM_MOD,text,,,,,
5,WET_LOCAL_MOD,text,,,,,
6,ECO_SITE,text,,,,,
