rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchList(wetland_type, {'Bog','Fen','Marsh','No distinction','Shallow Open Water','Swamp'}, FALSE, FALSE, TRUE, FALSE);notEmpty({wet_veg_cover, wet_landform_mod, wet_local_mod}, TRUE)",NA,"If any wetland attributes have a value, translate the row. Don't include rows where the only value is a wetland_class of 'Non Wetland - upland area'", TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notEmpty(map_sheet_id);notEmpty(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,WETLAND_TYPE,text,"notNull(wetland_type);notEmpty(wetland_type);matchList(wetland_type, {'Bog','Fen','Marsh','No distinction','Non Wetland - upland area','Shallow Open Water','Swamp'}, FALSE, FALSE, TRUE, FALSE)","mapText(wetland_type, {'Bog','Fen','Marsh','No distinction','Non Wetland - upland area','Shallow Open Water','Swamp'}, {'BOG','FEN','MARSH','WETLAND','NOT_WETLAND','SHALLOW_WATER','SWAMP'}, FALSE, FALSE)",Translate using match list. removeSpaces must be set to FALSE.,TRUE
3,WET_VEG_COVER,text,"notNull(wet_veg_cover);notEmpty(wet_veg_cover);matchList(wet_veg_cover, {'Forested','Mud','Open Non-Treed Freshwater','Wooded'}, FALSE, FALSE, TRUE, FALSE)","mapText(wet_veg_cover, {'Forested','Mud','Open Non-Treed Freshwater','Wooded'}, {'FORESTED','MUD','OPEN_NON_TREED_FRESHWATER','WOODED'}, FALSE, FALSE)",Translate using match list. removeSpaces must be set to FALSE.,TRUE
4,WET_LANDFORM_MOD,text,"notNull(wet_landform_mod);notEmpty(wet_landform_mod);matchList(wet_landform_mod, {'No Permafrost or Patterning Present','Patterning Present','Permafrost Present'}, FALSE, FALSE, TRUE, FALSE)","mapText(wet_landform_mod, {'No Permafrost or Patterning Present','Patterning Present','Permafrost Present'}, {'NO_PERMAFROST_PATTERNING ','PATTERNING_PRESENT','PERMAFROST_PRESENT'}, FALSE, FALSE)",Translate using match list. removeSpaces must be set to FALSE.,TRUE
5,WET_LOCAL_MOD,text,"notNull(wet_local_mod);notEmpty(wet_local_mod);matchList(wet_local_mod, {'Collapse Scar in Permafrost','Graminoids','Internal Lawn with Islands','Internal Lawns Non Present','Shrub Cover'}, FALSE, FALSE, TRUE, FALSE)","mapText(wet_local_mod, {'Collapse Scar in Permafrost','Graminoids','Internal Lawn with Islands','Internal Lawns Non Present','Shrub Cover'}, {'INT_LAWN_SCAR','GRAMINOIDS','INT_LAWN_ISLAND','NO_LAWN','SHRUB_COVER'}, FALSE, FALSE)",Translate using match list. removeSpaces must be set to FALSE.,TRUE
6,ECO_SITE,text,false(),nothingText(),Attribute does not occur,TRUE
7,LAYER,integer,false(|-8886),nothingInt(),Layer is unknown.,TRUE
