source_val,num_of_species,species_1,species_per_1,species_2,species_per_2,species_3,species_per_3
ALF,2,GENH_SPP_###,75,ALNU_SPP_###,25,,
ALM,2,UNKN_SPP_###,75,ALNU_SPP_###,25,,
BB,2,BETU_PAP_###,65,GENH_SPP_###,35,,
BB1,2,BETU_PAP_###,70,GENH_SPP_###,30,,
BB1E,2,BETU_PAP_###,70,PICE_SPP_###,30,,
BB1PB,2,BETU_PAP_###,70,PINU_STR_###,30,,
BB1PG,2,BETU_PAP_###,70,PINU_BAN_###,30,,
BB1PR,2,BETU_PAP_###,70,PINU_RES_###,30,,
BB1R,2,BETU_PAP_###,70,GENC_SPP_###,30,,
BB1S,2,BETU_PAP_###,70,ABIE_PIC_###,30,,
BBBB,1,BETU_PAP_###,100,,,,
BBBBE,2,BETU_PAP_###,80,PICE_SPP_###,20,,
BBBBG,2,BETU_PAP_###,80,PICE_GLA_###,20,,
BBBBPB,2,BETU_PAP_###,80,PINU_STR_###,20,,
BBBBPG,2,BETU_PAP_###,80,PINU_BAN_###,20,,
BBBBPR,2,BETU_PAP_###,80,PINU_RES_###,20,,
BBBBR,2,BETU_PAP_###,80,GENC_SPP_###,20,,
BBBBS,2,BETU_PAP_###,80,ABIE_PIC_###,20,,
BBBOJ,2,BETU_PAP_###,65,BETU_ALL_###,35,,
BBE,2,BETU_PAP_###,65,PICE_SPP_###,35,,
BBEPL,2,BETU_PAP_###,65,PICE_GLA_###,35,,
BBEPN,2,BETU_PAP_###,65,PICE_MAR_###,35,,
BBPB,2,BETU_PAP_###,65,PINU_SPP_###,35,,
BBPE,2,BETU_PAP_###,65,POPU_SPP_###,35,,
BBPEE,3,BETU_PAP_###,51,PICE_SPP_###,25,POPU_SPP_###,24
BBPEG,3,BETU_PAP_###,51,POPU_SPP_###,25,PICE_GLA_###,24
BBPEPB,3,BETU_PAP_###,51,PINU_STR_###,25,POPU_SPP_###,24
