rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"mb_fri01_wetland_validation(productivity, subtype, 1)",NA,No row to translate, TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Create cas_id using the unique identifier poly_id added during loading., TRUE
2,WETLAND_TYPE,text,"mb_fri01_wetland_validation(productivity, subtype, 1)","mb_fri01_wetland_translation(productivity, subtype, 1)",Validate there is a code to return. Translation converts source attributes into 4-character wetland code and returns the code corresponding to the first character., TRUE
3,WET_VEG_COVER,text,"mb_fri01_wetland_validation(productivity, subtype, 2)","mb_fri01_wetland_translation(productivity, subtype, 2)",Validate there is a code to return. Translation converts source attributes into 4-character wetland code and returns the code corresponding to the second character., TRUE
4,WET_LANDFORM_MOD,text,"mb_fri01_wetland_validation(productivity, subtype, 3)","mb_fri01_wetland_translation(productivity, subtype, 3)",Validate there is a code to return. Translation converts source attributes into 4-character wetland code and returns the code corresponding to the third character., TRUE
5,WET_LOCAL_MOD,text,"mb_fri01_wetland_validation(productivity, subtype, 4)","mb_fri01_wetland_translation(productivity, subtype, 4)",Validate there is a code to return. Translation converts source attributes into 4-character wetland code and returns the code corresponding to the fourth character., TRUE
6,ECO_SITE,text,false(),nothingText(),Attribute does not occur, TRUE
7,LAYER,integer,false(|-8886),nothingInt(),Layer is unknown.,TRUE
