targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
CAS_ID,str,"notNull(var1,var2,var3,var4,var5|'NULL')","casId('NB01, 'FOREST_NONFOR', 'src_filename', '', 'stdlab')",Concatenates four attributes to create CAS_ID,TRUE
IDENTIFICATION_ID,str,"notNull(inventory_standard_cd|-1111);between(inventory_standard_cd|4|7|-9999)","map(inventory_standard_cd, 'F,V,I,L', '4,5,6,7')",Maps source value to IDENTIFICATION_ID using lists of values,TRUEORIG_STAND_ID
MAP_SHEET_ID,str,"notNull(map_id|-8888);length(map_id|1|-9999)",copy(map_id),Copies source value to MAP_SHEET_ID,TRUESTAND_STRUCTURE
PHOTO_YEAR,int,"notNull(reference_year|-8888);between(reference_year|1960|2020|-9999)",copy(reference_year),Copies source value to PHOTO_YEAR,TRUENUM_OF_LAYERS
