casfri_species_codes,nfi_species_code,scientific_name,ab_species_codes,bc_species_codes,nb_species_codes,nt_species_codes,on_species_codes,ns_species_codes,sk_species_codes,yt_species_codes,pe_species_codes,qc_species_codes,mb_species_codes,nl_species_codes,pc02_species_codes,pc01_species_codes,Comment
,SALI_LUC_LUC,Salix lucida ssp. lucida ,,,,,,,,,,,,,,,
,SALI_PYR_###,Salix pyrifolia ,,,,,,,,,,,,,,,
,SAMB_CAL_###,Sambucus callicarpa ,,,,,,,,,,,,,,,
,SAMB_CAN_###,Sambucus canadensis ,,,,,,,,,,,,,,,
,SAMB_CER_###,Sambucus cerulea ,,,,,,,,,,,,,,,
,SAMB_RAC_###,Sambucus racemosa ,,,,,,,,,,,,,,,
,SASS_SPP_###,Sassafras  ,,,,,,,,,,,,,,,
,SHEP_ARG_###,Shepherdia argentea ,,,,,,,,,,,,,,,
,SORB_AME_###,Sorbus americana ,,,,,,,,,,,,,,,
,SORB_DEC_###,Sorbus decora ,,,,,,,,,,,,,,,
,SORB_SPP_###,Sorbus spp. ,,,,,,,,,,,,,,,
,TOXI_VER_###,Toxicodendron vernix ,,,,,,,,,,,,,,,
,ULMU_RUB_###,Ulmus rubra ,,,,,,,,,,,,,,,
,ULMU_THO_###,Ulmus thomasii ,,,,,,,,,,,,,,,
,VIBU_LEN_###,Viburnum lentago ,,,,,,,,,,,,,,,
,VIBU_SPP_###,Viburnum spp. ,,,,,,,,,,,,,,,
,ZANT_AME_###,Zanthoxylum americanum ,,,,,,,,,,,,,,,
,ABIE_MAG_###,Abies magnifica ,,,,,,,,,,,,,,,
,ABIE_NOR_###,Abies nordmanniana ,,,,,,,,,,,,,,,
,ABIE_PIN_###,Abies pinsapo ,,,,,,,,,,,,,,,
,ACER_GIN_###,Acer ginnala ,,,,,,,,,,,,,,,
,ACER_PAL_###,Acer palmatum ,,,,,,,,,,,,,,,
,AESC_CAR_###,Aesculus xcarnea ,,,,,,,,,,,,,,,
,AILA_ALT_###,Ailanthus altissima ,,,,,,,,,,,,,,,
,ALNU_GLU_###,Alnus glutinosa ,,,,,,,,,,,,,,,
,ARAL_ELA_###,Aralia elata ,,,,,,,,,,,,,,,
,ARAU_ARA_###,Araucaria araucana ,,,,,,,,,,,,,,,
,CARA_ARB_###,Caragana arborescens ,,,,,,,,,,,,,,,
,CAST_MOL_###,Castanea mollissima ,,,,,,,,,,,,,,,
,CATA_BIG_###,Catalpa bignonioides ,,,,,,,,,,,,,,,
,CEDR_ATL_###,Cedrus atlantica ,,,,,,,,,,,,,,,
,CEDR_DEO_###,Cedrus deodara ,,,,,,,,,,,,,,,
,CEDR_LIB_###,Cedrus libani ,,,,,,,,,,,,,,,
,CERC_JAP_###,Cercidiphyllum japonicum ,,,,,,,,,,,,,,,
,CHAM_OBT_###,Chamaecyparis obtusa ,,,,,,,,,,,,,,,
,CHAM_PIS_###,Chamaecyparis pisifera ,,,,,,,,,,,,,,,
,CLAD_LUT_###,Cladrastis lutea ,,,,,,,,,,,,,,,
,CORN_KOU_###,Cornus kousa ,,,,,,,,,,,,,,,
,CORN_MAS_###,Cornus mas ,,,,,,,,,,,,,,,
,FAGU_SYL_###,Fagus sylvatica ,,,,,,,,,,,,,,,
,GENX_SPP_###,Unidentify exotic,,,,,,,,,,,,,,,
,GINK_BIL_###,Ginkgo biloba ,,,,,,,,,,,,,,,
,POPU_NIG_###,Populus nigra ,,,,,,,,,,,,,,,
,SALI_ALB_VIT,Salix alba var. vitellina ,,,,,,,,,,,,,,,
,SYRI_VUL_###,Syringa vulgaris ,,,,,,,,,,,,,,,
,TAXU_BAC_###,Taxus baccata ,,,,,,,,,,,,,,,
,VIBU_OPU_###,Viburnum opulus ,,,,,,,,,,,,,,,
,PSEU_SPP_###,Pseudotsuga spp.,,F,,,,,,,,,,,,,
,LARI_GEM_###,Larix gmelinii,,LD,,,,,,,,,,,,,
,ABIE_SPP_DEA,Abies spp. (dead),,,DF,,,,,,,,,,,,Merchantable dead fir
,PICE_SPP_DEA,Picea spp. (dead),,,DS,,,,,,,,,,,,Merchantable dead spruce
,PINU_SPP_###,Pinus spp. (dead),,,DP,,,,,,,,,,,,Merchantable dead pine
,BETU_GRA_###,Betula grandulosa,,EB,,,,,,,,,,,,,
,PICE_GLA_MAR,Picea white x black,,SXB,,,,,,,,,,,,,
,PICE_ENG_SIT,Picea engelmann x sitka,,SXE,,,,,,,,,,,,,
