values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
-9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279201,309298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,318178,473047,294437,NA,NA
-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,80035,33092,806682,185114,135334,NA,NA,NA,556448,516344,373730,NA,NA,NA,NA,1746,34931,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
-8888,70685,14123,33709,43795,223384,110846,146604,519858,637923,NA,3618466,4018491,NA,NA,NA,NA,6297,NA,NA,NA,NA,184897,187783,240137,240575,342925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28400,10436,370249,NA,NA,NA,NA
-8887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74699,NA,NA,NA,NA,NA,NA,NA,867045,NA,NA,NA,230,97,1303919,7319,NA,NA,1509880,160597,1720580,3627891,3461011,856049,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107234,98344
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10942,14928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13282,17920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7948,10517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4335,5170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206470,244662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19
