values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
NO_PERMAFROST_PATTERNING,3776,1174,1516,1022,25183,7441,5528,47372,53682,NA,66837,70989,26176,11941,5037,171269,NA,81226,71237,102160,238785,62951,64809,86161,2989,3007,NA,1767,1947,NA,402283,50600,250572,884373,476358,167192,953,407,106590,85120,28356,6969,6398
NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4041,2688,NA,NA,NA,1741,5104,NA,37129,37362,36621,46704,65752,NA,NA,NA,NA,NA,NA,NA,NA,NA,307650,NA,NA,NA,NA,NA,4181,3915
PERMAFROST_PRESENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296,382,NA,NA,NA,1488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
