values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
1996,NA,NA,77,76,NA,7,327,282,384,145,16684,16121,NA,NA,NA,NA,492,164,7062,8066,2835,NA,NA,NA,NA,9,5256,NA,NA,NA,29034,301,27604,69015,52941,890,NA,NA,1101,528,46,93,83
1991,213,NA,NA,NA,37,96,225,259,302,28,11718,11363,NA,NA,NA,NA,288,144,3244,4097,3406,NA,NA,NA,NA,1,3542,NA,NA,NA,26974,2,26535,84848,61342,1324,NA,NA,1209,635,50,180,159
2005,NA,NA,NA,NA,NA,NA,NA,179,301,209,80884,68516,NA,NA,NA,NA,396,99,4898,8492,384,NA,NA,NA,NA,1,5399,NA,NA,NA,80376,NA,53544,55685,115856,NA,1,NA,NA,NA,7,NA,NA
1977,47,NA,NA,NA,107,297,137,106,104,NA,7448,7397,NA,NA,NA,NA,61,271,462,461,329,NA,NA,NA,NA,NA,1373,NA,NA,NA,8774,17,8416,22447,15612,395,NA,NA,2517,2297,NA,136,126
1970,4,NA,NA,NA,18,406,271,120,590,9,6285,6590,NA,NA,NA,NA,1,102,148,103,643,NA,NA,NA,26,33,115,NA,NA,NA,670,1,3326,7361,7247,1880,5,NA,1296,1296,4040,2,NA
2009,NA,NA,NA,NA,NA,NA,NA,25,80,128,12780,12733,NA,NA,NA,NA,593,1438,494,5118,NA,NA,NA,NA,NA,NA,680,NA,NA,NA,35648,1270,21468,36080,70554,NA,NA,NA,NA,NA,NA,NA,NA
1979,70,NA,2,NA,57,122,56,112,133,NA,8282,8222,NA,NA,NA,NA,20,708,996,1066,1998,NA,NA,NA,NA,6,1159,NA,NA,NA,10806,22,11689,24508,19784,254,NA,NA,489,108,2,5,NA
1998,NA,NA,NA,NA,NA,NA,NA,219,2248,318,16512,16521,NA,1,3,NA,1355,149,7585,8421,3446,NA,NA,NA,NA,3,4670,NA,NA,NA,24347,91,30717,52735,55515,9190,NA,NA,1670,1470,4034,642,527
2006,NA,NA,NA,NA,NA,NA,NA,92,230,184,57752,52472,NA,NA,NA,NA,1450,13,3674,7753,NA,NA,NA,NA,NA,NA,5810,NA,NA,NA,60912,307,23176,46870,114736,NA,NA,16,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,832,220,13845,14254,NA,NA,NA,NA,NA,NA,NA,2636,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,47,28234,52593,NA,NA,NA,NA,NA,NA,NA,NA,NA
