values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9200,8005,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,1,13,13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,190,NA,NA
35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187750,208493,NA,NA,NA,NA,NA,NA,NA,NA,NA,35877,35302,37573,4727,4727,44993,NA,NA,NA,NA,NA,NA,284536,NA,NA,1859,489,40816,26767,9578,11009,10093
36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12933,19640,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,4,5,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,NA,NA
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11096,11160,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,17,8,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2193,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13827,12048,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,20,9,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1492,NA,NA
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12633,10567,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,38,6,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2092,NA,NA
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357162,376943,NA,NA,NA,NA,NA,NA,NA,NA,NA,49349,49377,45665,27845,36008,132891,NA,NA,NA,501436,77229,446960,NA,951387,NA,2446,603,57052,39197,13146,9028,8288
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7649,8288,6269,8784,3290,12159,18412,12074,NA,NA,NA,27,16,4,NA,NA,8,NA,NA,3148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13740,13444,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,29,2,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11862,10583,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,13,4,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1552,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13348,12979,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,23,NA,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,NA
