values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
OTHER,2123,468,74,779,9892,3723,2536,7715,10864,NA,45281,41344,NA,726,103,NA,1094,33,50,410,627,6367,8273,15634,59980,61892,NA,NA,454,16768,4842,NA,17743,29805,40570,NA,111,NA,4782,646,1,NA,NA
DEAD_UNKNOWN,131,604,37,268,3008,210,771,884,1441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1238,1553,NA,NA,NA,NA,517,12,1663,51491,3657,NA,NA,NA,NA,NA,NA,NA,NA
BURN,1104,322,434,3451,13169,18,3,5195,21007,NA,63296,411346,NA,1679,8655,NA,19182,63341,2991,3571,11942,103,78,48,15038,19333,NA,NA,12,579,252657,34316,206961,712285,258375,40582,2962,145,51161,38519,36689,19599,18129
CUT,3055,479,863,1695,3778,12702,5184,9306,11991,4555,501421,524199,NA,2999,1365,NA,18443,4173,92830,122101,47020,49165,44865,28911,25,185,119827,NA,NA,2837,604275,1823,581140,1244126,1096949,15881,2200,20,31298,14263,4344,834,801
WINDFALL,NA,NA,3,3,10,75,370,126,324,NA,NA,NA,NA,13,8,NA,29,371,NA,NA,14554,3867,4031,2828,412,421,NA,NA,NA,45,103280,16261,25964,244092,45044,NA,13,14,733,690,43,34,31
INSECT,NA,NA,NA,NA,28,NA,NA,201,1143,NA,531474,443348,NA,NA,NA,NA,1,5,NA,NA,3054,NA,NA,NA,357,374,NA,NA,NA,NA,93762,28978,104877,384072,273466,NA,144,2,147,118,1,NA,NA
SILVICULTURE_TREATMENT,13,2,7,6,865,8,7,124,122,NA,448,468,NA,NA,NA,NA,NA,NA,74310,113432,14537,17487,16953,16963,1,16,NA,NA,NA,287,206107,330,270469,447310,452403,NA,515,1,5346,3559,15,NA,NA
DISEASE,NA,NA,NA,NA,5,4,NA,561,528,NA,684,518,NA,NA,NA,NA,498,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,2409,NA,108,91,1404,1,1
NOT_IN_SET,NA,NA,NA,NA,NA,NA,2,NA,15,NA,NA,NA,NA,NA,NA,NA,42,57,NA,1205,3,NA,NA,NA,NA,678,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,665,54,366,359,2578,NA,NA
WEATHER,NA,NA,NA,NA,2,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,509,43,NA,NA,NA,39,3,NA,NA,NA
PARTIAL_CUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82278,92395,NA,10359,10346,5062,NA,NA,32221,NA,NA,8044,49386,182,234645,406167,551427,7589,NA,NA,NA,NA,NA,NA,NA
NULL_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMPTY_STRING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,41893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2411,1108,NA,3513,6150,NA,NA,NA,NA,NA,NA,127,3412,NA,NA,NA,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,174
SLIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,37,37
UNKNOWN_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,111,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
