values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
-8887,4614,1522,1030,5852,24476,9146,8553,21184,39017,4555,1142604,1421223,NA,6856,10669,NA,41052,73893,252564,333114,NA,87348,84546,69446,77270,129868,152048,NA,505,29169,1182003,81709,1240062,3111711,2383413,64052,NA,NA,NA,NA,NA,NA,NA
-9999,852,353,388,321,5886,251,320,2397,5510,NA,NA,NA,NA,972,539,NA,1379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42495,NA,NA
1964,NA,NA,NA,NA,NA,239,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,37,39,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,11581,64,8473,15466,20584,NA,NA,NA,NA,NA,1,NA,NA
1983,44,NA,NA,NA,5,90,NA,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,220,1229,131,NA,NA,NA,92,48,5,NA,NA
-8888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7642,122,84910,52336,NA,20698,19173
1970,1,NA,NA,NA,7,497,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,1,NA,73,73,111,NA,NA
1993,81,NA,NA,NA,18,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,849,NA,1489,2978,2513,NA,NA,NA,216,213,1612,NA,NA
1992,146,NA,NA,NA,9,93,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,NA,1336,2578,2413,NA,NA,NA,168,149,NA,NA,NA
1980,15,NA,NA,NA,22,144,NA,1,1,NA,NA,NA,NA,NA,31,NA,25,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,532,76,NA,NA,NA,2480,841,238,NA,NA
1991,64,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,585,NA,684,2800,1931,NA,NA,NA,251,229,1,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,1,46,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,3189,NA,3664,12344,11230,NA,NA,NA,246,133,237,NA,NA
1994,12,NA,NA,NA,22,93,NA,30,32,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,764,NA,1527,3956,4124,NA,NA,NA,416,396,12,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,1,47,NA,NA,NA,NA,NA,NA,NA,68,15,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,5328,NA,4507,12953,12577,NA,30,NA,149,57,2,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,76,78,NA,NA,NA,NA,NA,NA,NA,17,2,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,8589,NA,6665,13312,15796,NA,7,NA,127,77,4,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,74,73,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,9367,NA,8101,13723,17146,NA,NA,NA,39,14,4,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,4865,NA,4519,12953,11852,NA,NA,NA,156,52,130,NA,NA
1990,81,NA,NA,4,4,276,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,473,1840,1345,NA,NA,NA,1031,652,3,NA,NA
1995,NA,NA,NA,3,NA,44,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,NA,2112,5661,5647,NA,856,114,1101,1077,130,NA,NA
1997,NA,NA,NA,NA,NA,2,NA,4,4,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,3108,NA,2643,9723,8826,NA,NA,NA,206,143,NA,NA,NA
1988,43,NA,NA,NA,9,239,NA,17,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,489,965,1113,NA,NA,NA,305,234,2,NA,NA
1989,72,NA,NA,NA,5,168,NA,3,24,NA,NA,NA,NA,NA,NA,NA,64,44,NA,NA,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,482,1350,919,NA,483,NA,412,390,NA,NA,NA
1986,23,NA,NA,NA,5,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,265,876,314,NA,NA,NA,188,157,NA,NA,NA
1985,32,NA,NA,NA,2,176,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,3408,1551,208,NA,NA,NA,143,101,NA,NA,NA
