SOURCE_VAL,FRI_VAL
IN,AII
IN,AIM
IN,AIG
IN,AIE
IN,II
IN,IM
IN,IG
IN,IE
FA,CIP
FA,CIW
FA,AIH
FA,IP
FA,IW
FA,IH
FA,AIW
FA,IW
CL,CA
CL,CP
CL,CPR
CL,A
CL,P
CL,PR
SE,ASC
SE,ASR
SE,AIF
SE,SC
SE,SR
SE,IF
LG,??
BP,??
OT,CIU
OT,AIU
OT,IU
OT,AIL
