SOURCE_VAL,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5,SPEC6,SPEC7,SPEC8,SPEC9
MB,Acer macr,Acer macr,Acer macr,Acer macr,Acer macr,Acer macr,Acer macr,Acer macr,Acer macr
MV,Acer circ,Acer circ,Acer circ,Acer circ,Acer circ,Acer circ,Acer circ,Acer circ,Acer circ
OA,Calc decu,Calc decu,Calc decu,Calc decu,Calc decu,Calc decu,Calc decu,Calc decu,Calc decu
PA,Pinu albi,Pinu albi,Pinu albi,Pinu albi,Pinu albi,Pinu albi,Pinu albi,Pinu albi,Pinu albi
PF,Pinu flex,Pinu flex,Pinu flex,Pinu flex,Pinu flex,Pinu flex,Pinu flex,Pinu flex,Pinu flex
PJ,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank
*PLC,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont
PLC,Pinu conc,Pinu conc,Pinu conc,Pinu conc,Pinu conc,Pinu conc,Pinu conc,Pinu conc,Pinu conc
*PLI,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont
PLI,Pinu conl,Pinu conl,Pinu conl,Pinu conl,Pinu conl,Pinu conl,Pinu conl,Pinu conl,Pinu conl
PL,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont
PM,Pinu radi,Pinu radi,Pinu radi,Pinu radi,Pinu radi,Pinu radi,Pinu radi,Pinu radi,Pinu radi
P,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.
PR,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi
PW,Pinu mont,Pinu mont,Pinu mont,Pinu mont,Pinu mont,Pinu mont,Pinu mont,Pinu mont,Pinu mont
PXJ,Pinu murx,Pinu murx,Pinu murx,Pinu murx,Pinu murx,Pinu murx,Pinu murx,Pinu murx,Pinu murx
PY,Pinu pond,Pinu pond,Pinu pond,Pinu pond,Pinu pond,Pinu pond,Pinu pond,Pinu pond,Pinu pond
QG,Quer garr,Quer garr,Quer garr,Quer garr,Quer garr,Quer garr,Quer garr,Quer garr,Quer garr
Q,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
RA,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz
R,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz,Arbu menz
SB,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
SE,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge
SN,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie
S,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.
SS,Pice sitc,Pice sitc,Pice sitc,Pice sitc,Pice sitc,Pice sitc,Pice sitc,Pice sitc,Pice sitc
SW,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau
*SXL,Pice lutx,Pice lutx,Pice lutx,Pice lutx,Pice lutx,Pice lutx,Pice lutx,Pice lutx,Pice lutx
SXL,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx
*SX,Pice sppx,Pice sppx,Pice sppx,Pice sppx,Pice sppx,Pice sppx,Pice sppx,Pice sppx,Pice sppx
SX,Pice hybr,Pice hybr,Pice hybr,Pice hybr,Pice hybr,Pice hybr,Pice hybr,Pice hybr,Pice hybr
SXS,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx,Pice sitx
SXW,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge,Pice enge
T,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev
TW,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev,Taxu brev
U,Malu pumi,Malu pumi,Malu pumi,Malu pumi,Malu pumi,Malu pumi,Malu pumi,Malu pumi,Malu pumi
VB,Prun emar,Prun emar,Prun emar,Prun emar,Prun emar,Prun emar,Prun emar,Prun emar,Prun emar
VP,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens,Prun pens
