SOURCE_VAL,FRI_VAL
AP,??
LA,LA
LA,RE
RI,RI
OC,OC
RK,BR
RK,TA
RK,BI
RK,LB
RK,RO
SA,??
SI,GL
SI,PN
SI,SI
SL,??
EX,RM
EX,LL
EX,CB
EX,MN
EX,EL
EX,ES
BE,BE
WS,MU
WS,RS
WS,LS
FL,??
IS,??
TF,??
